! Reaction's Kinematics:  Alab & Elab
! 12C + 2H -> 8Be + 6Li     or    2H(12C,8Be)6Li;       Reaction at the "middle" of the target
! Projectile Energy at the reaction place:  27.40 MeV/u;      Grazing angle:  CMS = 1.52 deg;    Lab = 0.37 deg
! Q reaction : -8.92 MeV  (Excitations 0.0+0.0 -> 3.0+0.0);     Plotted Energy option is "after reaction"
Angle  [Lab-deg]1	Fragment - 8Be	Angle  [Lab-deg]2	Residual - 6Li	
5.510754	33.9746   	15.419022	7.96286   	
5.552545	33.9586   	15.513315	7.98419   	
5.594314	33.9424   	15.607114	8.00568   	
5.636061	33.9262   	15.700417	8.02732   	
5.677786	33.9098   	15.793224	8.04911   	
5.719488	33.8933   	15.885534	8.07106   	
5.761168	33.8767   	15.977346	8.09317   	
5.802825	33.86     	16.068660	8.11543   	
5.844459	33.8431   	16.159474	8.13784   	
5.886070	33.8262   	16.249788	8.16041   	
5.927658	33.8091   	16.339601	8.18313   	
5.969223	33.7919   	16.428913	8.20601   	
6.010763	33.7746   	16.517724	8.22904   	
6.052280	33.7572   	16.606032	8.25222   	
6.093773	33.7397   	16.693837	8.27555   	
6.135242	33.722    	16.781139	8.29904   	
6.176687	33.7043   	16.867938	8.32268   	
6.218107	33.6864   	16.954232	8.34647   	
6.259502	33.6684   	17.040023	8.37041   	
6.300872	33.6503   	17.125308	8.3945    	
6.342217	33.6321   	17.210089	8.41875   	
6.383537	33.6137   	17.294364	8.44315   	
6.424831	33.5953   	17.378134	8.46769   	
6.466100	33.5767   	17.461399	8.49239   	
6.507343	33.5581   	17.544158	8.51724   	
6.548560	33.5393   	17.626411	8.54224   	
6.589751	33.5204   	17.708159	8.56739   	
6.630915	33.5014   	17.789400	8.59269   	
6.672052	33.4822   	17.870136	8.61814   	
6.713163	33.463    	17.950366	8.64373   	
6.754247	33.4437   	18.030090	8.66948   	
6.795304	33.4242   	18.109309	8.69537   	
6.836333	33.4046   	18.188022	8.72142   	
6.877335	33.385    	18.266230	8.74761   	
6.918309	33.3652   	18.343933	8.77395   	
6.959256	33.3453   	18.421131	8.80043   	
7.000174	33.3253   	18.497824	8.82707   	
7.041064	33.3051   	18.574012	8.85385   	
7.081925	33.2849   	18.649696	8.88078   	
7.122758	33.2646   	18.724877	8.90785   	
7.163561	33.2441   	18.799554	8.93507   	
7.204336	33.2235   	18.873728	8.96244   	
7.245081	33.2029   	18.947399	8.98995   	
7.285797	33.1821   	19.020568	9.01761   	
7.326484	33.1612   	19.093235	9.04541   	
7.367140	33.1402   	19.165401	9.07336   	
7.407767	33.1191   	19.237066	9.10146   	
7.448363	33.0979   	19.308231	9.12969   	
7.488929	33.0765   	19.378896	9.15807   	
7.529464	33.0551   	19.449061	9.1866    	
7.569969	33.0336   	19.518729	9.21527   	
7.610442	33.0119   	19.587898	9.24408   	
7.650884	32.9902   	19.656570	9.27304   	
7.691295	32.9683   	19.724745	9.30213   	
7.731674	32.9463   	19.792424	9.33137   	
7.772022	32.9242   	19.859608	9.36076   	
7.812337	32.9021   	19.926297	9.39028   	
7.852620	32.8798   	19.992493	9.41995   	
7.892871	32.8574   	20.058196	9.44975   	
7.933089	32.8349   	20.123406	9.4797    	
7.973275	32.8123   	20.188125	9.50979   	
8.013427	32.7895   	20.252353	9.54002   	
8.053546	32.7667   	20.316092	9.57039   	
8.093632	32.7438   	20.379342	9.6009    	
8.133684	32.7208   	20.442104	9.63155   	
8.173703	32.6976   	20.504379	9.66233   	
8.213687	32.6744   	20.566167	9.69326   	
8.253637	32.6511   	20.627470	9.72432   	
8.293553	32.6276   	20.688289	9.75553   	
8.333435	32.6041   	20.748625	9.78687   	
8.373281	32.5804   	20.808479	9.81835   	
8.413092	32.5567   	20.867851	9.84996   	
8.452868	32.5328   	20.926742	9.88172   	
8.492609	32.5088   	20.985155	9.91361   	
8.532314	32.4848   	21.043089	9.94563   	
8.571983	32.4606   	21.100546	9.97779   	
8.611617	32.4363   	21.157527	10.0101   	
8.651214	32.412    	21.214033	10.0425   	
8.690774	32.3875   	21.270065	10.0751   	
8.730298	32.3629   	21.325624	10.1078   	
8.769785	32.3383   	21.380712	10.1406   	
8.809234	32.3135   	21.435329	10.1736   	
8.848647	32.2886   	21.489477	10.2067   	
8.888022	32.2636   	21.543156	10.24     	
8.927359	32.2386   	21.596368	10.2733   	
8.966659	32.2134   	21.649115	10.3068   	
9.005920	32.1881   	21.701397	10.3405   	
9.045142	32.1627   	21.753215	10.3742   	
9.084327	32.1373   	21.804571	10.4081   	
9.123472	32.1117   	21.855466	10.4422   	
9.162579	32.086    	21.905902	10.4763   	
9.201646	32.0602   	21.955879	10.5106   	
9.240674	32.0344   	22.005398	10.5451   	
9.279662	32.0084   	22.054462	10.5796   	
9.318610	31.9823   	22.103071	10.6143   	
9.357518	31.9562   	22.151226	10.6491   	
9.396386	31.9299   	22.198930	10.6841   	
9.435213	31.9036   	22.246182	10.7191   	
9.474000	31.8771   	22.292985	10.7543   	
9.512746	31.8506   	22.339340	10.7897   	
9.551450	31.8239   	22.385248	10.8251   	
9.590114	31.7972   	22.430711	10.8607   	
9.628735	31.7704   	22.475729	10.8964   	
9.667315	31.7434   	22.520305	10.9323   	
9.705852	31.7164   	22.564439	10.9682   	
9.744348	31.6893   	22.608132	11.0043   	
9.782801	31.6621   	22.651387	11.0405   	
9.821211	31.6348   	22.694205	11.0769   	
9.859578	31.6074   	22.736587	11.1133   	
9.897902	31.5799   	22.778534	11.1499   	
9.936183	31.5523   	22.820048	11.1866   	
9.974420	31.5246   	22.861130	11.2235   	
10.012613	31.4968   	22.901781	11.2604   	
10.050762	31.469    	22.942004	11.2975   	
10.088867	31.441    	22.981799	11.3347   	
10.126927	31.413    	23.021167	11.3721   	
10.164943	31.3848   	23.060111	11.4095   	
10.202914	31.3566   	23.098632	11.4471   	
10.240839	31.3283   	23.136730	11.4848   	
10.278719	31.2999   	23.174408	11.5226   	
10.316553	31.2714   	23.211667	11.5605   	
10.354342	31.2428   	23.248508	11.5986   	
10.392084	31.2141   	23.284933	11.6368   	
10.429780	31.1853   	23.320944	11.6751   	
10.467429	31.1564   	23.356541	11.7135   	
10.505031	31.1275   	23.391726	11.752    	
10.542587	31.0984   	23.426500	11.7907   	
10.580095	31.0693   	23.460866	11.8294   	
10.617555	31.0401   	23.494824	11.8683   	
10.654968	31.0108   	23.528376	11.9073   	
10.692333	30.9814   	23.561523	11.9464   	
10.729650	30.9519   	23.594268	11.9857   	
10.766918	30.9223   	23.626610	12.025    	
10.804137	30.8927   	23.658553	12.0645   	
10.841307	30.8629   	23.690096	12.1041   	
10.878429	30.8331   	23.721242	12.1438   	
10.915500	30.8032   	23.751993	12.1836   	
10.952522	30.7732   	23.782349	12.2235   	
10.989494	30.7431   	23.812312	12.2636   	
11.026416	30.7129   	23.841884	12.3037   	
11.063288	30.6827   	23.871066	12.344    	
11.100109	30.6523   	23.899859	12.3844   	
11.136879	30.6219   	23.928265	12.4249   	
11.173598	30.5914   	23.956286	12.4655   	
11.210265	30.5608   	23.983922	12.5062   	
11.246881	30.5301   	24.011176	12.547    	
11.283445	30.4994   	24.038049	12.5879   	
11.319957	30.4685   	24.064542	12.629    	
11.356416	30.4376   	24.090656	12.6701   	
11.392823	30.4066   	24.116394	12.7114   	
11.429177	30.3755   	24.141757	12.7528   	
11.465478	30.3444   	24.166746	12.7942   	
11.501726	30.3131   	24.191362	12.8358   	
11.537919	30.2818   	24.215608	12.8775   	
11.574059	30.2504   	24.239484	12.9193   	
11.610145	30.2189   	24.262992	12.9612   	
11.646177	30.1873   	24.286134	13.0033   	
11.682154	30.1556   	24.308910	13.0454   	
11.718075	30.1239   	24.331323	13.0876   	
11.753942	30.0921   	24.353374	13.1299   	
11.789754	30.0602   	24.375064	13.1724   	
11.825509	30.0283   	24.396395	13.2149   	
11.861209	29.9962   	24.417368	13.2576   	
11.896853	29.9641   	24.437984	13.3003   	
11.932440	29.9319   	24.458246	13.3432   	
11.967970	29.8996   	24.478154	13.3861   	
12.003444	29.8673   	24.497710	13.4292   	
12.038860	29.8348   	24.516916	13.4723   	
