! Reaction's Kinematics:  Alab & Elab
! 14O + 2H -> 10C + 6Li     or    2H(14O,10C)6Li;       Reaction at the "middle" of the target
! Projectile Energy at the reaction place:  35.60 MeV/u;      Grazing angle:  CMS = 1.50 deg;    Lab = 0.32 deg
! Q reaction : -8.64 MeV  (Excitations 0.0+0.0 -> 0.0+0.0);     Plotted Energy option is "after reaction"
Angle  [Lab-deg]1	Fragment - 10C	Angle  [Lab-deg]2	Residual - 6Li	
4.857117	42.9011   	17.106130	10.0301   	
4.893832	42.8825   	17.207760	10.061    	
4.930524	42.8638   	17.308800	10.0921   	
4.967195	42.845    	17.409247	10.1234   	
5.003843	42.826    	17.509101	10.155    	
5.040469	42.807    	17.608363	10.1868   	
5.077072	42.7877   	17.707031	10.2188   	
5.113652	42.7684   	17.805104	10.251    	
5.150209	42.7489   	17.902584	10.2835   	
5.186743	42.7293   	17.999469	10.3162   	
5.223253	42.7095   	18.095759	10.3491   	
5.259740	42.6896   	18.191453	10.3822   	
5.296203	42.6696   	18.286553	10.4156   	
5.332642	42.6494   	18.381057	10.4491   	
5.369057	42.6291   	18.474965	10.4829   	
5.405447	42.6087   	18.568278	10.5169   	
5.441813	42.5881   	18.660995	10.5512   	
5.478155	42.5674   	18.753116	10.5856   	
5.514471	42.5466   	18.844642	10.6203   	
5.550762	42.5257   	18.935573	10.6552   	
5.587029	42.5046   	19.025909	10.6903   	
5.623269	42.4834   	19.115650	10.7256   	
5.659484	42.462    	19.204796	10.7612   	
5.695673	42.4405   	19.293347	10.7969   	
5.731837	42.4189   	19.381305	10.8329   	
5.767974	42.3972   	19.468669	10.8691   	
5.804084	42.3753   	19.555439	10.9056   	
5.840168	42.3533   	19.641617	10.9422   	
5.876226	42.3312   	19.727203	10.979    	
5.912256	42.3089   	19.812196	11.0161   	
5.948260	42.2865   	19.896599	11.0534   	
5.984236	42.264    	19.980410	11.0909   	
6.020184	42.2414   	20.063632	11.1286   	
6.056105	42.2186   	20.146264	11.1665   	
6.091998	42.1957   	20.228308	11.2047   	
6.127863	42.1726   	20.309763	11.243    	
6.163700	42.1495   	20.390632	11.2816   	
6.199508	42.1262   	20.470913	11.3204   	
6.235288	42.1028   	20.550610	11.3594   	
6.271039	42.0792   	20.629721	11.3986   	
6.306761	42.0556   	20.708249	11.438    	
6.342453	42.0318   	20.786194	11.4776   	
6.378117	42.0078   	20.863556	11.5175   	
6.413751	41.9838   	20.940338	11.5575   	
6.449355	41.9596   	21.016539	11.5978   	
6.484929	41.9353   	21.092162	11.6383   	
6.520473	41.9109   	21.167206	11.679    	
6.555986	41.8863   	21.241674	11.7199   	
6.591469	41.8616   	21.315565	11.761    	
6.626922	41.8368   	21.388882	11.8023   	
6.662343	41.8119   	21.461625	11.8438   	
6.697733	41.7868   	21.533796	11.8855   	
6.733092	41.7616   	21.605396	11.9274   	
6.768420	41.7363   	21.676426	11.9696   	
6.803716	41.7109   	21.746887	12.0119   	
6.838980	41.6854   	21.816780	12.0545   	
6.874212	41.6597   	21.886108	12.0972   	
6.909411	41.6339   	21.954870	12.1402   	
6.944579	41.608    	22.023069	12.1834   	
6.979713	41.5819   	22.090706	12.2267   	
7.014815	41.5557   	22.157782	12.2703   	
7.049883	41.5295   	22.224298	12.3141   	
7.084919	41.503    	22.290256	12.3581   	
7.119920	41.4765   	22.355658	12.4022   	
7.154889	41.4499   	22.420504	12.4466   	
7.189823	41.4231   	22.484797	12.4912   	
7.224723	41.3962   	22.548537	12.536    	
7.259589	41.3692   	22.611727	12.581    	
7.294421	41.342    	22.674367	12.6262   	
7.329218	41.3148   	22.736460	12.6716   	
7.363980	41.2874   	22.798006	12.7171   	
7.398707	41.2599   	22.859008	12.7629   	
7.433399	41.2323   	22.919466	12.8089   	
7.468055	41.2046   	22.979383	12.8551   	
7.502676	41.1767   	23.038761	12.9015   	
7.537261	41.1487   	23.097599	12.948    	
7.571810	41.1206   	23.155901	12.9948   	
7.606322	41.0924   	23.213668	13.0418   	
7.640799	41.0641   	23.270902	13.089    	
7.675238	41.0357   	23.327604	13.1363   	
7.709641	41.0071   	23.383775	13.1839   	
7.744006	40.9784   	23.439419	13.2316   	
7.778334	40.9497   	23.494535	13.2796   	
7.812625	40.9207   	23.549126	13.3277   	
7.846878	40.8917   	23.603195	13.376    	
7.881093	40.8626   	23.656741	13.4245   	
7.915270	40.8333   	23.709768	13.4733   	
7.949409	40.804    	23.762276	13.5222   	
7.983509	40.7745   	23.814268	13.5713   	
8.017571	40.7449   	23.865745	13.6205   	
8.051593	40.7152   	23.916710	13.67     	
8.085577	40.6853   	23.967163	13.7197   	
8.119521	40.6554   	24.017107	13.7695   	
8.153425	40.6254   	24.066543	13.8196   	
8.187290	40.5952   	24.115473	13.8698   	
8.221115	40.5649   	24.163900	13.9202   	
8.254899	40.5345   	24.211824	13.9708   	
8.288643	40.504    	24.259248	14.0216   	
8.322347	40.4734   	24.306173	14.0726   	
8.356010	40.4427   	24.352602	14.1238   	
8.389631	40.4118   	24.398535	14.1751   	
8.423212	40.3809   	24.443976	14.2266   	
8.456751	40.3498   	24.488925	14.2784   	
8.490248	40.3187   	24.533385	14.3303   	
8.523703	40.2874   	24.577357	14.3823   	
8.557117	40.256    	24.620843	14.4346   	
8.590487	40.2245   	24.663845	14.487    	
8.623816	40.1929   	24.706366	14.5397   	
8.657102	40.1612   	24.748406	14.5925   	
8.690344	40.1294   	24.789967	14.6455   	
8.723544	40.0974   	24.831052	14.6986   	
8.756700	40.0654   	24.871663	14.752    	
8.789812	40.0333   	24.911801	14.8055   	
8.822881	40.001    	24.951467	14.8592   	
8.855905	39.9687   	24.990665	14.9131   	
8.888886	39.9362   	25.029396	14.9672   	
8.921821	39.9036   	25.067661	15.0214   	
8.954713	39.8709   	25.105462	15.0758   	
8.987559	39.8382   	25.142802	15.1304   	
9.020360	39.8053   	25.179683	15.1852   	
9.053115	39.7723   	25.216105	15.2401   	
9.085825	39.7392   	25.252072	15.2952   	
9.118489	39.706    	25.287584	15.3505   	
9.151107	39.6727   	25.322644	15.406    	
9.183679	39.6393   	25.357254	15.4616   	
9.216204	39.6058   	25.391415	15.5174   	
9.248683	39.5721   	25.425130	15.5734   	
9.281115	39.5384   	25.458399	15.6295   	
9.313499	39.5046   	25.491226	15.6858   	
9.345836	39.4707   	25.523612	15.7423   	
9.378125	39.4367   	25.555559	15.799    	
9.410367	39.4025   	25.587068	15.8558   	
9.442560	39.3683   	25.618142	15.9128   	
9.474706	39.334    	25.648782	15.9699   	
9.506802	39.2996   	25.678991	16.0273   	
9.538850	39.265    	25.708770	16.0847   	
9.570849	39.2304   	25.738120	16.1424   	
9.602798	39.1957   	25.767045	16.2002   	
9.634699	39.1609   	25.795545	16.2582   	
9.666549	39.126    	25.823623	16.3164   	
9.698349	39.0909   	25.851280	16.3747   	
9.730100	39.0558   	25.878518	16.4331   	
9.761800	39.0206   	25.905339	16.4918   	
9.793449	38.9853   	25.931745	16.5506   	
9.825048	38.9499   	25.957738	16.6095   	
9.856595	38.9144   	25.983320	16.6687   	
9.888091	38.8788   	26.008491	16.7279   	
9.919536	38.8431   	26.033255	16.7874   	
9.950928	38.8073   	26.057613	16.847    	
9.982269	38.7714   	26.081567	16.9067   	
10.013557	38.7354   	26.105118	16.9666   	
10.044793	38.6994   	26.128269	17.0267   	
10.075976	38.6632   	26.151021	17.0869   	
10.107106	38.6269   	26.173376	17.1473   	
10.138183	38.5906   	26.195336	17.2079   	
10.169207	38.5541   	26.216903	17.2686   	
10.200177	38.5176   	26.238078	17.3294   	
10.231092	38.481    	26.258863	17.3904   	
10.261954	38.4442   	26.279260	17.4515   	
10.292761	38.4074   	26.299271	17.5129   	
10.323514	38.3705   	26.318898	17.5743   	
10.354211	38.3335   	26.338141	17.6359   	
10.384853	38.2964   	26.357004	17.6977   	
10.415440	38.2592   	26.375488	17.7596   	
10.445972	38.222    	26.393594	17.8216   	
10.476447	38.1846   	26.411324	17.8838   	
10.506866	38.1472   	26.428680	17.9462   	
10.537229	38.1096   	26.445665	18.0087   	
10.567536	38.072    	26.462278	18.0713   	
10.597785	38.0343   	26.478523	18.1341   	
10.627977	37.9965   	26.494401	18.1971   	
10.658112	37.9586   	26.509913	18.2601   	
10.688189	37.9207   	26.525062	18.3234   	
10.718208	37.8826   	26.539849	18.3867   	
10.748170	37.8445   	26.554276	18.4503   	
10.778072	37.8062   	26.568344	18.5139   	
10.807916	37.7679   	26.582055	18.5777   	
10.837702	37.7295   	26.595411	18.6416   	
10.867428	37.6911   	26.608414	18.7057   	
10.897094	37.6525   	26.621064	18.7699   	
10.926701	37.6138   	26.633365	18.8343   	
10.956249	37.5751   	26.645317	18.8988   	
10.985735	37.5363   	26.656922	18.9634   	
11.015162	37.4974   	26.668182	19.0282   	
11.044528	37.4584   	26.679099	19.0931   	
11.073833	37.4194   	26.689673	19.1581   	
11.103076	37.3802   	26.699907	19.2233   	
11.132259	37.341    	26.709803	19.2886   	
11.161379	37.3017   	26.719361	19.3541   	
11.190438	37.2623   	26.728584	19.4197   	
11.219434	37.2228   	26.737474	19.4854   	
11.248368	37.1833   	26.746031	19.5512   	
11.277239	37.1437   	26.754257	19.6172   	
11.306047	37.104    	26.762154	19.6833   	
11.334791	37.0642   	26.769724	19.7495   	
11.363472	37.0244   	26.776968	19.8159   	
11.392090	36.9844   	26.783887	19.8824   	
11.420643	36.9444   	26.790484	19.949    	
11.449132	36.9043   	26.796760	20.0158   	
11.477556	36.8642   	26.802716	20.0827   	
11.505915	36.8239   	26.808353	20.1497   	
11.534209	36.7836   	26.813675	20.2168   	
11.562438	36.7432   	26.818681	20.2841   	
11.590601	36.7028   	26.823374	20.3514   	
11.618698	36.6622   	26.827754	20.4189   	
11.646729	36.6216   	26.831825	20.4866   	
11.674694	36.5809   	26.835586	20.5543   	
11.702591	36.5402   	26.839040	20.6222   	
11.730422	36.4993   	26.842188	20.6902   	
11.758185	36.4584   	26.845031	20.7583   	
11.785881	36.4175   	26.847571	20.8265   	
11.813508	36.3764   	26.849810	20.8948   	
11.841068	36.3353   	26.851749	20.9633   	
11.868559	36.2941   	26.853389	21.0319   	
11.895982	36.2529   	26.854733	21.1006   	
11.923335	36.2115   	26.855780	21.1694   	
11.950619	36.1701   	26.856533	21.2383   	
11.977834	36.1287   	26.856994	21.3074   	
12.004979	36.0871   	26.857163	21.3766   	
12.032054	36.0455   	26.857042	21.4458   	
12.059058	36.0039   	26.856633	21.5152   	
12.085992	35.9621   	26.855936	21.5847   	
12.112854	35.9203   	26.854954	21.6543   	
12.139646	35.8785   	26.853688	21.724    	
12.166366	35.8365   	26.852138	21.7939   	
12.193014	35.7945   	26.850308	21.8638   	
12.219590	35.7524   	26.848197	21.9339   	
12.246094	35.7103   	26.845807	22.004    	
12.272525	35.6681   	26.843140	22.0743   	
12.298884	35.6259   	26.840197	22.1447   	
12.325169	35.5835   	26.836980	22.2151   	
12.351380	35.5412   	26.833489	22.2857   	
12.377518	35.4987   	26.829726	22.3564   	
12.403581	35.4562   	26.825693	22.4272   	
12.429570	35.4136   	26.821390	22.4981   	
12.455485	35.371    	26.816819	22.5691   	
12.481324	35.3283   	26.811982	22.6402   	
12.507089	35.2855   	26.806879	22.7114   	
12.532777	35.2427   	26.801513	22.7827   	
12.558390	35.1998   	26.795884	22.8541   	
12.583927	35.1569   	26.789993	22.9256   	
12.609387	35.1139   	26.783842	22.9972   	
12.634770	35.0709   	26.777433	23.0688   	
12.660077	35.0277   	26.770765	23.1406   	
12.685306	34.9846   	26.763842	23.2125   	
12.710457	34.9414   	26.756664	23.2845   	
12.735531	34.8981   	26.749232	23.3566   	
12.760526	34.8547   	26.741547	23.4287   	
12.785443	34.8113   	26.733611	23.501    	
12.810281	34.7679   	26.725425	23.5734   	
12.835040	34.7244   	26.716991	23.6458   	
