! Reaction's Kinematics:  Alab & Elab
! 12C + 2H -> 8Be + 6Li     or    2H(12C,8Be)6Li;       Reaction at the "middle" of the target
! Projectile Energy at the reaction place:  27.40 MeV/u;      Grazing angle:  CMS = 1.52 deg;    Lab = 0.38 deg
! Q reaction : -5.89 MeV  (Excitations 0.0+0.0 -> 0.0+0.0);     Plotted Energy option is "after reaction"
Angle  [Lab-deg]1	Fragment - 8Be	Angle  [Lab-deg]2	Residual - 6Li	
0.000000	35.6782   	0.000000	6.19951   	
0.044435	35.6781   	0.142979	6.19959   	
0.088869	35.6779   	0.285952	6.19986   	
0.133304	35.6776   	0.428912	6.2003    	
0.177737	35.6771   	0.571851	6.20091   	
0.222171	35.6765   	0.714765	6.2017    	
0.266603	35.6758   	0.857645	6.20267   	
0.311034	35.675    	1.000485	6.20382   	
0.355465	35.674    	1.143279	6.20514   	
0.399894	35.6728   	1.286020	6.20663   	
0.444321	35.6716   	1.428702	6.2083    	
0.488747	35.6702   	1.571317	6.21015   	
0.533171	35.6687   	1.713860	6.21217   	
0.577593	35.667    	1.856324	6.21437   	
0.622014	35.6652   	1.998702	6.21674   	
0.666432	35.6633   	2.140988	6.21929   	
0.710847	35.6613   	2.283175	6.22202   	
0.755260	35.6591   	2.425257	6.22492   	
0.799670	35.6568   	2.567227	6.228     	
0.844078	35.6543   	2.709079	6.23125   	
0.888482	35.6518   	2.850806	6.23468   	
0.932883	35.6491   	2.992403	6.23828   	
0.977281	35.6462   	3.133862	6.24206   	
1.021675	35.6432   	3.275178	6.24602   	
1.066065	35.6401   	3.416343	6.25015   	
1.110452	35.6369   	3.557352	6.25445   	
1.154835	35.6335   	3.698199	6.25894   	
1.199213	35.63     	3.838876	6.26359   	
1.243587	35.6264   	3.979379	6.26842   	
1.287957	35.6226   	4.119700	6.27343   	
1.332322	35.6187   	4.259834	6.27861   	
1.376682	35.6147   	4.399774	6.28397   	
1.421037	35.6106   	4.539515	6.2895    	
1.465387	35.6063   	4.679050	6.29521   	
1.509732	35.6019   	4.818374	6.30109   	
1.554071	35.5973   	4.957479	6.30715   	
1.598405	35.5926   	5.096361	6.31338   	
1.642733	35.5878   	5.235014	6.31979   	
1.687055	35.5829   	5.373431	6.32637   	
1.731371	35.5778   	5.511607	6.33313   	
1.775680	35.5726   	5.649536	6.34006   	
1.819983	35.5672   	5.787212	6.34717   	
1.864280	35.5618   	5.924629	6.35445   	
1.908569	35.5562   	6.061783	6.3619    	
1.952852	35.5504   	6.198666	6.36953   	
1.997128	35.5446   	6.335275	6.37733   	
2.041397	35.5386   	6.471602	6.38531   	
2.085658	35.5325   	6.607643	6.39346   	
