! Reaction's Kinematics:  Alab & Elab
! 12C + 2H -> 8Be + 6Li     or    2H(12C,8Be)6Li;       Reaction at the "middle" of the target
! Projectile Energy at the reaction place:  27.40 MeV/u;      Grazing angle:  CMS = 1.52 deg;    Lab = 0.33 deg
! Q reaction : -17.24 MeV  (Excitations 0.0+0.0 -> 11.3+0.0);     Plotted Energy option is "after reaction"
Angle  [Lab-deg]1	Fragment - 8Be	Angle  [Lab-deg]2	Residual - 6Li	
0.000000	33.0964   	0.000000	7.74805   	
0.039282	33.0964   	0.108860	7.74812   	
0.078564	33.0962   	0.217717	7.74835   	
0.117846	33.0959   	0.326565	7.74872   	
0.157127	33.0955   	0.435402	7.74925   	
0.196408	33.095    	0.544224	7.74992   	
0.235688	33.0944   	0.653026	7.75075   	
0.274967	33.0937   	0.761806	7.75172   	
0.314244	33.0928   	0.870558	7.75284   	
0.353521	33.0919   	0.979280	7.75412   	
0.392795	33.0908   	1.087967	7.75554   	
0.432069	33.0896   	1.196615	7.75711   	
0.471340	33.0883   	1.305222	7.75883   	
0.510609	33.0869   	1.413782	7.76071   	
0.549877	33.0854   	1.522292	7.76273   	
0.589141	33.0838   	1.630749	7.7649    	
0.628404	33.082    	1.739148	7.76722   	
0.667664	33.0802   	1.847486	7.76969   	
0.706921	33.0782   	1.955759	7.77231   	
0.746175	33.0761   	2.063963	7.77508   	
0.785425	33.0739   	2.172094	7.778     	
0.824673	33.0716   	2.280149	7.78107   	
0.863917	33.0692   	2.388124	7.78429   	
0.903157	33.0667   	2.496014	7.78765   	
0.942394	33.064    	2.603818	7.79117   	
0.981627	33.0613   	2.711530	7.79484   	
1.020855	33.0584   	2.819147	7.79865   	
1.060079	33.0554   	2.926665	7.80262   	
1.099299	33.0523   	3.034080	7.80673   	
1.138514	33.0491   	3.141390	7.811     	
1.177725	33.0458   	3.248590	7.81541   	
1.216930	33.0424   	3.355677	7.81997   	
1.256130	33.0388   	3.462646	7.82468   	
1.295325	33.0352   	3.569495	7.82954   	
1.334514	33.0314   	3.676220	7.83455   	
1.373698	33.0276   	3.782816	7.83971   	
1.412876	33.0236   	3.889282	7.84502   	
1.452048	33.0195   	3.995612	7.85047   	
1.491214	33.0153   	4.101804	7.85608   	
1.530374	33.0109   	4.207854	7.86183   	
1.569527	33.0065   	4.313758	7.86773   	
1.608673	33.002    	4.419514	7.87378   	
1.647813	32.9973   	4.525117	7.87998   	
1.686946	32.9925   	4.630564	7.88633   	
1.726071	32.9876   	4.735851	7.89283   	
1.765189	32.9826   	4.840976	7.89947   	
1.804300	32.9775   	4.945935	7.90627   	
1.843403	32.9723   	5.050724	7.91321   	
1.882499	32.967    	5.155340	7.9203    	
1.921586	32.9616   	5.259780	7.92753   	
1.960665	32.956    	5.364040	7.93492   	
1.999736	32.9504   	5.468118	7.94245   	
2.038799	32.9446   	5.572009	7.95013   	
2.077853	32.9387   	5.675712	7.95796   	
2.116898	32.9327   	5.779221	7.96594   	
2.155934	32.9266   	5.882535	7.97406   	
2.194961	32.9204   	5.985649	7.98234   	
2.233978	32.9141   	6.088562	7.99075   	
2.272986	32.9076   	6.191269	7.99932   	
2.311985	32.9011   	6.293768	8.00804   	
2.350974	32.8944   	6.396056	8.0169    	
2.389952	32.8876   	6.498128	8.02591   	
2.428921	32.8808   	6.599984	8.03506   	
2.467879	32.8738   	6.701618	8.04436   	
2.506827	32.8667   	6.803029	8.05381   	
2.545764	32.8595   	6.904214	8.06341   	
2.584690	32.8521   	7.005169	8.07315   	
2.623605	32.8447   	7.105891	8.08304   	
2.662509	32.8372   	7.206378	8.09308   	
2.701402	32.8295   	7.306627	8.10326   	
2.740283	32.8218   	7.406635	8.11359   	
2.779152	32.8139   	7.506400	8.12407   	
